lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug2#include/json/value.h#FUNCTIONNOTFOUND#83,0,0,124,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug2#include/json/value.h#FUNCTIONNOTFOUND#94,0,0,124,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug2#include/json/value.h#StaticString::StaticString(const char * czstring)#149,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#StaticString::c_str()#153,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#Value::setType(enum Json::ValueType v)#594,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#Value::setType(enum Json::ValueType v)#595,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#Value::setType(enum Json::ValueType v)#596,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#Value::isAllocated()#597,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#Value::setIsAllocated(_Bool v)#598,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#FUNCTIONNOTFOUND#633,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#Comments::Comments()#635,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
bug2#include/json/value.h#Value::as()#656,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#657,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#659,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#660,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#662,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#663,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#666,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#667,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#669,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#670,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#673,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#674,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#676,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::is()#677,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#681,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#682,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#Value::as()#683,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#FUNCTIONNOTFOUND#689,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#FUNCTIONNOTFOUND#716,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#ValueIteratorBase::operator==(const Json::ValueIteratorBase::SelfType & other)#752,6,0,118,3,0,0.0,0.0,-1,-0.048,0.0,0.0,0,0
bug2#include/json/value.h#ValueIteratorBase::operator!=(const Json::ValueIteratorBase::SelfType & other)#754,8,0,116,3,0,0.0,0.0,-1,-0.064,0.0,0.0,0,0
bug2#include/json/value.h#ValueIteratorBase::operator-(const Json::ValueIteratorBase::SelfType & other)#756,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#ValueIteratorBase::operator-(const Json::ValueIteratorBase::SelfType & other)#757,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#ValueConstIterator::operator++()#858,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#ValueConstIterator::operator++()#859,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#ValueConstIterator::operator++()#860,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#ValueConstIterator::operator*()#863,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator--()#905,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator--()#906,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator--()#907,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator++()#910,7,0,117,3,0,0.0,0.0,-1,-0.056,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator++()#911,7,0,117,3,0,0.0,0.0,-1,-0.056,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator++()#912,7,0,117,3,0,0.0,0.0,-1,-0.056,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator*()#920,4,0,120,3,0,0.0,0.0,-1,-0.032,0.0,0.0,0,0
bug2#include/json/value.h#ValueIterator::operator->()#921,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
